id,name_fr,name_en,name_ar,network_code,city_name_en,city_id
796,ADDAKHLA,ADDAKHLA,الداخلة سوبراتور,2,ADDAKHLA,174
190,AEROPORT Med V,AEROPORT MED V,مطار محمد الخامس,1,CASABLANCA,33
745,AGADIR  (SUPRAT.),AGADIR  (SUPRAT.),أكادير سوبراتور,2,AGADIR,158
832,AGDZ (SUPRAT.),AGDZ (SUPRAT.),أكدز سوبراتور,2,AGDZ,183
884,AIN DEFALI,AIN DEFALI,عين الدفالي سوبراتور,2,AIN DEFALI,192
411,AIN SBIT,AIN SBIT,عين سبيت,1,AIN SBIT,70
213,AIN SEBAA,AIN SEBAA,عين السبع,1,CASABLANCA,33
367,AIN-TAOUJDATE,AIN-TAOUJDATE,عين تاوجدات,1,AIN-TAOUJDATE,66
313,AL AKBA LHAMRA,AL AKBA LHAMRA,العقبة الحمراء,1,AL AKBA LHAMRA,49
317,ASILAH,ASILAH,أصيلة,1,ASILAH,50
761,ASSA,ASSA,أسا سوبراتور,2,ASSA,166
625,AZEMMOUR HALTE,AZEMMOUR HALTE,أزمور توقف,1,AZEMMOUR,88
852,AZROU (SUPRAT.),AZROU (SUPRAT.),آزرو سوبراتور,2,AZROU,119
120,BENGUERIR,BENGUERIR,بنكرير,1,BENGUERIR,12
660,BENI NSAR PORT,BENI NSAR PORT,بني انصار الميناء,1,BENI NSAR,200
662,BENI NSAR VILLE,BENI NSAR VILLE,بني انصار المدينة,1,BENI NSAR,200
800,BENI-MELLAL,BENI-MELLAL,بني ملال سوبراتور,2,BENI-MELLAL,139
470,BENI-OUKIL,BENI-OUKIL,بني وكيل,1,BENI-OUKIL,85
183,BERRECHID,BERRECHID,برشيد,1,BERRECHID,29
71,BIDANE,BIDANE,بيدان,1,BIDANE,5
755,BOUIZAKARNE,BOUIZAKARNE,بويزكارن سوبراتور,2,BOUIZAKARNE,165
794,BOUJDOUR,BOUJDOUR,بوجدور سوبراتور,2,BOUJDOUR,137
828,BOUMALNE,BOUMALNE,بومالن سوبراتور,2,BOUMALNE,181
187,BOUSKOURA,BOUSKOURA,بوسكورة,1,BOUSKOURA,31
221,BOUZNIKA,BOUZNIKA,بوزنيقة,1,BOUZNIKA,36
191,Casa Oasis,CASA OASIS,الدار البيضاء الوازيس,1,CASABLANCA,33
206,CASA PORT,CASA PORT,الدار البيضاء الميناء,1,CASABLANCA,33
200,CASA VOYAGEURS,CASA VOYAGEURS,الدار البيضاء المسافرون,1,CASABLANCA,33
419,CHEBABAT,CHEBABAT,الشبابات,1,CHEBABAT,73
888,CHEFCHAOUEN,CHEFCHAOUEN,شفشاون سوبراتور,2,CHEFCHAOUEN,133
310,DALIA,DALIA,الدالية,1,DALIA,202
261,DAR EL GUEDARI,DAR EL GUEDARI,دار الكداري,1,DAR EL GUEDARI,201
445,EL AGREB,EL AGREB,العكرب,1,EL AGREB,80
459,EL AIOUN,EL AIOUN,العيون,1,EL AIOUN,83
772,El Argoub (Supra),EL ARGOUB (SUPRA),العركوب سوبراتور,2,EL ARGOUB,168
81,EL ARIA,EL ARIA,العارية,1,EL ARIA,7
171,EL GOUFAF,EL GOUFAF,الكفاف,1,EL GOUFAF,27
850,EL HAJEB (SUPRAT.),EL HAJEB (SUPRAT.),الحاجب سوبراتور,2,EL HAJEB,186
610,EL JADIDA,EL JADIDA,الجديدة,1,EL JADIDA,87
135,EL KHEMISSET,EL KHEMISSET,الخميسات,1,EL KHEMISSET,17
325,EL KSAR EL KEBIR,EL KSAR EL KEBIR,القصر الكبير,1,EL KSAR EL KEBIR,53
826,ELKELAA MGOUNA,ELKELAA MGOUNA,قلعة مكونة سوبراتور,2,ELKELAA MGOUNA,180
194,ENNASSIM,ENNASSIM,النسيم,1,CASABLANCA,33
185,ENNOUASSER,ENNOUASSER,النواصر,1,ENNOUASSER,30
861,EOUFOUSS     (SUPRAT.),EOUFOUSS     (SUPRAT.),أوفوس سوبراتور,2,EOUFOUSS,189
862,ERFOUD (SUPRAT.),ERFOUD (SUPRAT.),أرفود سوبراتور,2,ERFOUD,152
860,ERRACHIDIA (SUPRAT.),ERRACHIDIA (SUPRAT.),الراشدية سوبراتور,2,ERRACHIDIA,159
858,ERRICH       (SUPRAT.),ERRICH       (SUPRAT.),الريش سوبراتور,2,ERRICH,187
740,ESSAOUIRA,ESSAOUIRA,الصويرة سوبراتور,2,ESSAOUIRA,143
192,FACULTES,FACULTES,الكليات,1,CASABLANCA,33
380,FES,FES,فاس,1,FES,68
892,FNIDEQ (SUPRA.),FNIDEQ (SUPRA.),الفنيدق سوبراتور,2,FNIDEQ,194
759,FOUM ZGUID,FOUM ZGUID,فم ازكيد,2,FOUM ZGUID,203
811,FQUIH BEN SALAH,FQUIH BEN SALAH,الفقيه بنصالح سوبراتور,2,FQUIH BEN SALAH,177
778,Gargarate (Supra),GARGARATE (SUPRA),كاركارات سوبراتور,2,GARGARATE,171
844,GUELMIMA,GUELMIMA,كلميمة سوبراتور,2,GUELMIMA,185
760,GUELMIME,GUELMIME,كلميم سوبراتور,2,GUELMIM,142
441,GUERCIF,GUERCIF,كرسيف,1,GUERCIF,79
670,HASSI BERKANE,HASSI BERKANE,حاسي بركان,1,BERKANE,125
756,IGHREM,IGHREM,ايغرم,2,IGHREM,204
747,INEZGANE (SUPRAT),INEZGANE (SUPRAT),انزكان سوبراتور,2,INEZGANE,163
882,JORF EL MELHA,JORF EL MELHA,جرف الملحة سوبراتور,2,JORF EL MELHA,191
801,KELAA  DES  SRAGHNAS,KELAA  DES  SRAGHNAS,قلعة السراغنة سوبراتور,2,KELAA  DES  SRAGHNAS,175
250,KENITRA,KENITRA,القنيطرة,1,KENITRA,43
63,KHATT AZACANE,KHATT AZACANE,خط أزكان,1,KHATT AZACANE,2
818,KHENIFRA (SUPRAT.),KHENIFRA (SUPRAT.),خنيفرة سوبراتور,2,KHENIFRA,156
167,KHOURIBGA,KHOURIBGA,خريبكة,1,KHOURIBGA,25
790,LAAYOUNE,LAAYOUNE,العيون سوبراتور,2,LAAYOUNE,130
791,LAAYOUNE PORT,LAAYOUNE PORT,العيون الميناء سوبراتور,2,LAAYOUNE,130
776,Lamhariz (Supra),LAMHARIZ (SUPRA),لمهاريز سوبراتور,2,LAMHARIZ,170
324,Larache,LARACHE,العرائش  سوبراتور,2,LARACHE,134
110,MARRAKECH,MARRAKECH,مراكش,1,MARRAKECH,8
893,MARTIL,MARTIL,مارتيل سوبراتور,2,MARTIL,129
417,MATMATA,MATMATA,مطماطة,1,MATMATA,72
890,MDIQ (SUPRA.),MDIQ (SUPRA.),المضيق سوبراتور,2,MDIQ,138
339,MECHRA BEL KSIRI,MECHRA BEL KSIRI,مشرع بلقصيري,1,MECHRA BEL KSIRI,56
128,MECHRA BEN ABBOU,MECHRA BEN ABBOU,مشرع بن عبو,1,MECHRA BEN ABBOU,15
363,MEKNES,MEKNES,مكناس,1,MEKNES,64
362,MEKNES AL AMIR,MEKNES AL AMIR,مكناس الامير,1,MEKNES,64
674,MELG EL OUIDANE,MELG EL OUIDANE,ملك الويدان,1,MELG EL OUIDANE,205
193,MERS SULTAN,MERS SULTAN,مرس السلطان,1,CASABLANCA,33
870,MERZOUGA (SUPRAT.),MERZOUGA (SUPRAT.),مزروكة سوبراتور,2,MERZOUGA,190
856,MIDELT (SUPRAT.),MIDELT (SUPRAT.),ميدلت سوبراتور,2,MIDELT,120
217,MOHAMMEDIA,MOHAMMEDIA,المحمدية,1,MOHAMMEDIA,34
153,MOUALINE EL OUED,MOUALINE EL OUED,موالين الواد,1,MOUALINE EL OUED,21
820,MRIRT (SUPRAT.),MRIRT (SUPRAT.),مريرت سوبراتور,2,MRIRT,179
163,MRIZIG,MRIZIG,مريزيك,1,MRIZIG,24
437,MSOUN,MSOUN,امسون,1,MSOUN,77
666,NADOR SUD,NADOR SUD,الناظور الجنوبية,1,NADOR,116
664,NADOR VILLE,NADOR VILLE,الناظور المدينة,1,NADOR,116
463,NAIMA,NAIMA,النعيمة,1,NAIMA,84
825,OUARZAZATE,OUARZAZATE,ورززات سوبراتور,2,OUARZAZATE,140
423,OUED AMLIL,OUED AMLIL,واد امليل,1,OUED AMLIL,74
455,OUED METLILI,OUED METLILI,واد متليلي,1,OUED METLILI,82
173,OUED ZEM,OUED ZEM,وادزم,1,OUED ZEM,28
672,OUELED RAHOU,OUELED RAHOU,اولاد رحو,1,OUELED RAHOU,206
886,OUEZZANE,OUEZZANE,وزان سوبراتور,2,OUEZZANE,193
490,OUJDA,OUJDA,وجدة,1,OUJDA,86
752,OULAD TEIMA,OULAD TEIMA,أولاد تايمة,2,OULAD TEIMA,207
229,RABAT AGDAL,RABAT AGDAL,الرباط أكدال,1,RABAT,39
231,RABAT VILLE,RABAT VILLE,الرباط المدينة,1,RABAT,39
155,RAS EL AIN,RAS EL AIN,راس العين,1,RAS EL AIN,22
864,RISSANI (SUPRAT.),RISSANI (SUPRAT.),الريساني سوبراتور,2,RISSANI,118
57,SAFI,SAFI,اسفي,1,SAFI,1
730,SAFI  (SUPRAT.),SAFI  (SUPRAT.),آسفي سوبراتور,2,SAFI,1
237,SALE,SALE,سلا,1,SALE,40
238,SALE TABRIQUET,SALE TABRIQUET,سلا تابريكت,1,SALE,40
365,SEBAA-AIOUN,SEBAA-AIOUN,سبع عيون,1,SEBAA-AIOUN,65
668,SELOUANE,SELOUANE,سلوان,1,SELOUANE,117
139,SETTAT,SETTAT,سطات,1,SETTAT,18
116,SIDI BOU OTHMANE,SIDI BOU OTHMANE,سيدي بوعثمان,1,SIDI BOU OTHMANE,10
140,SIDI EL AIDI,SIDI EL AIDI,سيدي العايدي,1,SIDI EL AIDI,19
159,SIDI HAJJAJ,SIDI HAJJAJ,سيدي حجاج,1,SIDI HAJJAJ,23
406,SIDI HARAZEM,SIDI HARAZEM,سيدي,1,SIDI HARAZEM,69
350,SIDI KACEM,SIDI KACEM,سيدي قاسم,1,SIDI KACEM,58
168,SIDI RHAZOUANI,SIDI RHAZOUANI,سيدي الغزواني,1,SIDI RHAZOUANI,26
264,SIDI SLIMANE MEDINA,SIDI SLIMANE MEDINA,س . سليمان المدينة,1,SIDI SLIMANE,47
259,SIDI YAHIA,SIDI YAHIA,سيدي يحيى,1,SIDI YAHIA,45
223,SKHIRAT,SKHIRAT,الصخيرات,1,SKHIRAT,37
785,SMARA,SMARA,السمارة سوبراتور,2,SMARA,173
337,SOUK EL ARBAA,SOUK EL ARBAA,سوق الاربعاء,1,SOUK EL ARBAA,55
742,TAMANAR,TAMANAR,تمنار سوبراتور,2,TAMANAR,162
151,TAMDROST,TAMDROST,تمضروست,1,TAMDROST,20
802,TAMELALT     (SUPRAT.),TAMELALT     (SUPRAT.),تملالت سوبراتور,2,TAMELALT,176
770,TAN TAN,TAN TAN,طنطان سوبراتور,2,TAN TAN,154
775,TAN TAN PORT,TAN TAN PORT,طنطان الميناء سوبراتور,2,TAN TAN,154
303,TANGER VILLE,TANGER VILLE,طنجة المدينة,1,TANGER,48
451,TAOURIRT,TAOURIRT,تاوريرت,1,TAOURIRT,81
780,TARFAYA,TARFAYA,طرفاية سوبراتور,2,TARFAYA,172
754,TAROUDANT,TAROUDANT,تارودانت,2,TAROUDANT,208
757,TATA,TATA,طاطا,2,TATA,209
431,TAZA,TAZA,تازة,1,TAZA,76
774,Tchika (Supra),TCHIKA (SUPRA),تشيكا سوبراتور,2,TCHIKA,169
227,TEMARA,TEMARA,تمارة,1,TEMARA,38
806,TETOUAN,TETOUAN,تطوان سوبراتور,2,TETOUAN,149
830,TINERHIR,TINERHIR,تنغير سوبراتور,2,TINERHIR,182
840,TINJDAD,TINJDAD,تينجداد سوبراتور,2,TINJDAD,184
758,TISSINT,TISSINT,تيسينت,2,TISSINT,211
750,TIZNIT,TIZNIT,تزنيت سوبراتور,2,TIZNIT,164
321,TLETA RISSANA,TLETA RISSANA,ثلاثاء الريسانة,1,TLETA RISSANA,52
318,TNINE SIDI LYAMAN,TNINE SIDI LYAMAN,اثنين سيدي اليماني,1,TNINE SIDI LYAMAN,51
413,TOUABAA,TOUABAA,الطوابعة,1,TOUABAA,71
77,YOUSSOUFIA,YOUSSOUFIA,اليوسفية,1,YOUSSOUFIA,6
762,ZAG,ZAG,الزاك سوبراتور,2,ZAG,167
834,ZAGORA (SUPRAT.),ZAGORA (SUPRAT.),زاكورة سوبراتور,2,ZAGORA,146
816,ZAOUIAT CHEHCH (SUPRAT.),ZAOUIAT CHEHCH (SUPRAT.),زاوية الشيخ سوبراتور,2,ZAOUIAT CHEHCH,178
